time,tracking_error,contact_force
0.002000,0.328240,-0.000000
0.042000,0.326034,-0.000000
0.082000,0.323574,-0.000000
0.122000,0.321085,-0.000000
0.162000,0.318542,-0.000000
0.202000,0.315985,-0.000000
0.242000,0.313420,-0.000000
0.282000,0.310849,-0.000000
0.322000,0.308273,-0.000000
0.362000,0.305682,-0.000000
0.402000,0.303077,-0.000000
0.442000,0.300456,-0.000000
0.482000,0.297816,-0.000000
0.522000,0.295146,-0.000000
0.562000,0.292483,-0.000000
0.602000,0.289805,-0.000000
0.642000,0.287132,-0.000000
0.682000,0.284469,-0.000000
0.722000,0.281822,-0.000000
0.762000,0.279257,-0.000000
0.802000,0.276703,-0.000000
0.842000,0.274189,-0.000000
0.882000,0.271717,-0.000000
0.922000,0.269208,-0.000000
0.962000,0.266722,-0.000000
1.002000,0.264355,-0.000000
1.042000,0.261966,-0.000000
1.082000,0.259706,-0.000000
1.122000,0.257520,-0.000000
1.162000,0.255451,-0.000000
1.202000,0.253399,-0.000000
1.242000,0.251354,-0.000000
1.282000,0.249369,-0.000000
1.322000,0.247445,-0.000000
1.362000,0.245582,-0.000000
1.402000,0.243775,0.268393
1.442000,0.242115,0.586572
1.482000,0.240601,0.895081
1.522000,0.239067,1.189026
1.562000,0.237561,1.504140
1.602000,0.236100,1.837266
1.642000,0.234687,2.157330
1.682000,0.233321,2.464845
1.722000,0.231999,2.760301
1.762000,0.230726,3.044173
1.802000,0.229503,3.316915
1.842000,0.228325,3.578961
1.882000,0.227192,3.830732
1.922000,0.226101,4.072632
1.962000,0.225049,4.305047
2.002000,0.224036,4.528349
2.042000,0.223058,4.742896
2.082000,0.222115,4.949012
2.122000,0.221028,4.832780
2.162000,0.219494,3.753145
2.202000,0.218021,2.574089
2.242000,0.216622,1.375181
2.282000,0.215297,0.552284
2.322000,0.213994,0.468505
2.362000,0.212784,0.368530
2.402000,0.212945,0.717195
2.442000,0.213594,1.078165
2.482000,0.214375,1.423127
2.522000,0.215292,1.752440
2.562000,0.216309,2.064030
2.602000,0.217428,2.359278
2.642000,0.218562,2.599935
2.682000,0.219679,2.733269
2.722000,0.220785,2.719394
2.762000,0.221865,2.543038
2.802000,0.222932,2.334672
2.842000,0.223962,1.968786
2.882000,0.224977,1.630765
2.922000,0.225961,1.205393
2.962000,0.226922,0.790679
3.002000,0.227861,0.338799
