time,tracking_error,contact_force
0.002000,0.328242,-0.000000
0.042000,0.326109,-0.000000
0.082000,0.323703,-0.000000
0.122000,0.321257,-0.000000
0.162000,0.318750,-0.000000
0.202000,0.316236,-0.000000
0.242000,0.313713,-0.000000
0.282000,0.311184,-0.000000
0.322000,0.308645,-0.000000
0.362000,0.306089,-0.000000
0.402000,0.303522,-0.000000
0.442000,0.300938,-0.000000
0.482000,0.298332,-0.000000
0.522000,0.295712,-0.000000
0.562000,0.293092,-0.000000
0.602000,0.290432,-0.000000
0.642000,0.287779,-0.000000
0.682000,0.285135,-0.000000
0.722000,0.282481,-0.000000
0.762000,0.279858,-0.000000
0.802000,0.277242,-0.000000
0.842000,0.274664,-0.000000
0.882000,0.272157,-0.000000
0.922000,0.269703,-0.000000
0.962000,0.267284,-0.000000
1.002000,0.264983,-0.000000
1.042000,0.262610,-0.000000
1.082000,0.260301,-0.000000
1.122000,0.258059,-0.000000
1.162000,0.256008,-0.000000
1.202000,0.253952,-0.000000
1.242000,0.251917,-0.000000
1.282000,0.249944,-0.000000
1.322000,0.248029,-0.000000
1.362000,0.246177,-0.000000
1.402000,0.244385,-0.000000
1.442000,0.242736,-0.000000
1.482000,0.241239,-0.000000
1.522000,0.239726,-0.000000
1.562000,0.238241,0.090325
1.602000,0.236799,0.318088
1.642000,0.235404,0.533817
1.682000,0.234057,0.737571
1.722000,0.232755,0.929764
1.762000,0.231499,1.112741
1.802000,0.230290,1.292456
1.842000,0.229128,1.469397
1.882000,0.228010,1.643066
1.922000,0.226935,1.812997
1.962000,0.225900,1.978787
2.002000,0.224903,2.166621
2.042000,0.223943,2.395350
2.082000,0.223017,2.615110
2.122000,0.222125,2.826254
2.162000,0.220925,2.956635
2.202000,0.219375,2.252080
2.242000,0.217912,1.671106
2.282000,0.216530,1.097854
2.322000,0.215221,0.571132
2.362000,0.213944,0.125758
2.402000,0.212608,-0.000000
2.442000,0.212039,-0.000000
2.482000,0.213052,-0.000000
2.522000,0.214042,-0.000000
2.562000,0.214962,-0.000000
2.602000,0.215968,0.246437
2.642000,0.216978,0.452877
2.682000,0.218139,0.675715
2.722000,0.219060,0.776261
2.762000,0.219067,0.781837
2.802000,0.220092,0.482347
2.842000,0.221202,0.255582
2.882000,0.222156,-0.000000
2.922000,0.222300,0.002138
2.962000,0.223359,-0.000000
3.002000,0.224413,-0.000000
3.042000,0.225152,-0.000000
3.082000,0.226117,-0.000000
3.122000,0.227110,-0.000000
3.162000,0.228073,-0.000000
3.202000,0.229006,-0.000000
3.242000,0.229901,-0.000000
3.282000,0.230778,-0.000000
3.322000,0.231638,-0.000000
3.362000,0.232474,-0.000000
