Chi_0_0,Chi_0_1,Chi_0_2,Chi_1_0,Chi_1_1,Chi_1_2,Chi_2_0,Chi_2_1,Chi_2_2,Chi_3_0,Chi_3_1,Chi_3_2,Chi_4_0,Chi_4_1,Chi_4_2,Chi_5_0,Chi_5_1,Chi_5_2,Chi_6_0,Chi_6_1,Chi_6_2,Chi_7_0,Chi_7_1,Chi_7_2,Chi_8_0,Chi_8_1,Chi_8_2,Chi_9_0,Chi_9_1,Chi_9_2,Chi_10_0,Chi_10_1,Chi_10_2,Chi_11_0,Chi_11_1,Chi_11_2,Chi_12_0,Chi_12_1,Chi_12_2,Chi_13_0,Chi_13_1,Chi_13_2,Chi_14_0,Chi_14_1,Chi_14_2,Chi_15_0,Chi_15_1,Chi_15_2,Chi_16_0,Chi_16_1,Chi_16_2,Chi_17_0,Chi_17_1,Chi_17_2,Chi_18_0,Chi_18_1,Chi_18_2,Chi_19_0,Chi_19_1,Chi_19_2
0.0,0.0,0.0,6.9422398639718e-06,0.005526499094308966,0.016534698176788383,-7.749130001827309e-05,0.01105235752639308,0.033069396353576766,-0.00025327753635995265,0.01657606458173237,0.049604094530365156,-0.0005203684109592599,0.02209611013397176,0.06613879270715353,-0.0008786909038379087,0.02761098505777461,0.08267349088394192,-0.001328147053204276,0.0331191816414024,0.09920818906073031,-0.0018686139822348125,0.03861919399890819,0.11574288723751869,-0.0024999439326677253,0.044109518481830715,0.13227758541430706,-0.003221964305198388,0.04958865409027691,0.14881228359109547,-0.004034477706666151,0.05505510288328022,0.16534698176788384,-0.00493726200402006,0.0605073703883228,0.18188167994467222,-0.005930070385047392,0.06594396600990936,0.19841637812146062,-0.007012631425850013,0.07136340343708099,0.21495107629824903,-0.008184649165048519,0.07676420104975783,0.23148577447503738,-0.009445803184695678,0.08214488232379925,0.24802047265182575,-0.010795748697874974,0.08750397623467067,0.26455517082861413,-0.012234116642962312,0.0928400176596071,0.28108986900540256,-0.01376051378452342,0.09815154777816298,0.29762456718219094,-0.015374522820820802,0.1034371144710392,0.3141592653589793
0.0,0.0,0.0,0.00010100057379724969,0.00560283518435144,0.018477713512210125,9.846221365245045e-05,0.011206580072873902,0.03695542702442025,-7.61421379702476e-06,0.016809321456380137,0.055433140536630385,-0.00021719249234236626,0.02240914646829576,0.0739108540488405,-0.000530201068567826,0.028004143237742828,0.09238856756105063,-0.0009465330762800095,0.03359240154228353,0.11086628107326077,-0.0014660463729945783,0.03917201346010099,0.12934399458547088,-0.002088563588464709,0.04474107402139471,0.147821708097681,-0.0028138721852393744,0.05029768185876803,0.16629942160989114,-0.003641724531226298,0.05583993985638577,0.18477713512210125,-0.004571837984237936,0.06136595579768025,0.2032548486343114,-0.005603894988489844,0.06687384301138465,0.22173256214652154,-0.0067375431830195565,0.07236172101567312,0.24021027565873165,-0.007972395521988307,0.07782771616018772,0.25868798917094177,-0.009308030406824708,0.08326996226573291,0.2771657026831519,-0.010743991830165223,0.08868660126141943,0.295643416195362,-0.012279789531542351,0.0940757838190397,0.31412112970757217,-0.013914899164768124,0.09943566998445835,0.3325988432197823,-0.015648762476953515,0.10476442980580246,0.35107655673199245
0.0,0.0,0.0,0.0003264832863544287,0.005787085093733182,0.023045081957002025,0.0005195278366537659,0.011580156733198486,0.04609016391400405,0.0005790311341458687,0.01737613849438141,0.06913524587100608,0.0005049615794676665,0.023171952407840604,0.0921803278280081,0.0002973585074265428,0.028964520593270676,0.11522540978501013,-4.366783388878859e-05,0.03475076689401753,0.13827049174201217,-0.0005179363416556171,0.040527618510678466,0.16131557369901417,-0.001125195154492331,0.0462920076329194,0.1843606556560162,-0.00186512178621015,0.05204087306864255,0.20740573761301823,-0.002737323297069827,0.057771161869639556,0.23045081957002025,-0.0037413365024535905,0.0634798309528666,0.2534959015270223,-0.004876628218840134,0.06916384871648082,0.27654098348402434,-0.006142595546953039,0.07482019664977912,0.29958606544102634,-0.007538566191931717,0.08044587093618562,0.32263114739802834,-0.009063798820355323,0.08603788404843501,0.34567622935503034,-0.010717483453929616,0.09159326633510605,0.3687213113120324,-0.012498741899627325,0.09710906759766148,0.39176639326903445,-0.014406628216055178,0.10258235865715802,0.41481147522603645,-0.01644012921579796,0.10801023290979346,0.4378565571830385
0.0,0.0,0.0,0.0006029650670975606,0.006010657001108191,0.028476533316462386,0.0010345461323458816,0.012036045141405046,0.05695306663292477,0.0012943932447196382,0.0180712786857927,0.08542959994938716,0.0013822957050691476,0.024111463915947103,0.11390613326584954,0.0012981822369677876,0.030151703098429433,0.1423826665823119,0.001042121044507044,0.036187098456053196,0.17085919989877432,0.0006143197569923875,0.04221275613928675,0.19933573321523668,1.5125260585613365e-05,0.04822379019447118,0.2278122665316991,-0.0007549765829707178,0.05421532652563549,0.2562887998481615,-0.001695361330318168,0.060182506846697285,0.2847653331646238,-0.0028052664628175072,0.06612049262084348,0.31324186648108626,-0.004083792004843073,0.07202446898389737,0.34171839979754864,-0.005529901253535585,0.07788964864849052,0.370194933114011,-0.007142421619420608,0.08371127578587373,0.39867146643047335,-0.008920045577212848,0.08948462988221965,0.4271479997469358,-0.010861331726033402,0.09520502956628966,0.4556245330633982,-0.012964705958181277,0.10086783640536223,0.48410106637986056,-0.015228462735511955,0.10646845866634366,0.512577599696323,-0.017650766472386198,0.11200235503901236,0.5410541330127854
0.0,0.0,0.0,0.0008629798498342445,0.006217243514091716,0.033426756182984005,0.0015176940365399794,0.012459855184575612,0.06685351236596801,0.0019634110846243336,0.018720860491056552,0.10028026854895203,0.002199633019392383,0.024993264362960038,0.13370702473193602,0.0022260959233062483,0.03127005899473284,0.16713378091492004,0.0020427702308455087,0.03754423167527163,0.20056053709790406,0.0016498607615389738,0.04380877262283232,0.23398729328088802,0.00104780649113137,0.0500566828166667,0.26741404946387204,0.0002372800611403214,0.05628098181663621,0.30084080564685606,-0.0007808129726482871,0.06247471556206686,0.3342675618298401,-0.0020053351519073725,0.0686309641411317,0.3676943180128241,-0.003434918386586605,0.07474284952208084,0.4011210741958081,-0.005067965483403353,0.08080354323768088,0.43454783037879213,-0.006902651930296877,0.08680627401427918,0.46797458656177604,-0.008936927934853678,0.0927443353369686,0.5014013427447601,-0.011168520714425756,0.09861109294240084,0.5348280989277441,-0.013594937035383253,0.10439999223087762,0.5682548551107282,-0.016213465998664883,0.11010456558943744,0.6016816112937121,-0.019021182068513526,0.11571843961775774,0.6351083674766962
0.0,0.0,0.0,0.0010606608058468248,0.006370110185052661,0.037086694344963506,0.0018844000900505864,0.01277516746086455,0.07417338868992701,0.002470084992593935,0.01920636317470378,0.11126008303489052,0.0028169100413797388,0.025654852726552803,0.14834677737985402,0.0029243982599685414,0.03211176773277952,0.1854334717248175,0.0027924018235479797,0.03856822822251719,0.22252016606978103,0.002421102262230884,0.04501535484997976,0.2596068604147445,0.0018110102114034243,0.051444281105917734,0.29669355475970804,0.00096296470946583,0.057846165511420106,0.3337802491046715,-0.000121867956067917,0.06421220377729334,0.370866943449635,-0.0014419958525246634,0.07053364091229421,0.40795363779459853,-0.0029956034538753673,0.07680178326356515,0.44504033213956207,-0.004780554137565063,0.08300801047271303,0.4821270264845256,-0.0067943931229353105,0.08914378733108833,0.519213720829489,-0.00903435084719914,0.09520067551796135,0.5563004151744525,-0.011497346774324207,0.10117034520545132,0.5933871095194161,-0.014179993631587118,0.1070445865142493,0.6304738038643796,-0.017078602067971904,0.11281532080438,0.667560498209343,-0.020189185728006293,0.11847461178547461,0.7046471925543066
0.0,0.0,0.0,0.0011754796484933216,0.006452143615230238,0.039148359430917726,0.002097532323043938,0.012945349949617936,0.07829671886183545,0.0027647450716832556,0.019469668824690763,0.11744507829275319,0.003176095458716721,0.02601510238517137,0.1565934377236709,0.0033309531315027507,0.032571620419673965,0.19574179715458864,0.003229080786403854,0.03912917573098339,0.23489015658550638,0.002870634532430416,0.04567771953236326,0.2740385160164241,0.002256163652019527,0.05220721684629988,0.3131868754473418,0.001386609759315427,0.05870766188208487,0.3523352348782596,0.00026330535724167214,0.06516909336867202,0.3914835943091773,-0.0011120282044241592,0.07158160981931244,0.430631953740095,-0.002737283366844062,0.07793538470457602,0.46978031317101276,-0.004609969591738955,0.08422068151050868,0.5089286726019305,-0.006727217177885658,0.09042786865885005,0.5480770320328482,-0.009085781658642045,0.09654743426644773,0.5872253914637658,-0.011682048773762416,0.10257000072125114,0.6263737508946836,-0.014512040007883587,0.10848633905254827,0.6655221103256014,-0.01757141868719539,0.11428738307342512,0.7046704697565191,-0.02085549662495219,0.11996424327377508,0.7438188291874369
0.0,0.0,0.0,0.0012074421285858672,0.006463448445741839,0.03966086855876305,0.0021576559579533083,0.012969689755678429,0.0793217371175261,0.0028491470123961915,0.019508491054561285,0.11898260567628917,0.003280827729778696,0.026069568257497296,0.1586434742350522,0.0034520191720292526,0.03264260224453454,0.19830434279381526,0.0033624520929596002,0.039217255090350324,0.23796521135257834,0.0030122673617296314,0.04578318632351594,0.27762607991134136,0.002402015741290925,0.052330069189765994,0.3172869484701044,0.0015326570221593228,0.05884760689369349,0.3569478170288675,0.0004055585128766581,0.06532554879332637,0.3966086855876305,-0.0009775071104619892,0.07175370652211505,0.4362695541463936,-0.0026143645922352132,0.07812197001297422,0.4759304227051567,-0.004502439518489859,0.08442032339917724,0.5155912912639198,-0.006638762365923673,0.09063886076709413,0.5552521598226827,-0.009019973172286977,0.09676780173599772,0.5949130283814458,-0.011642326820858695,0.10279750684043439,0.6345738969402088,-0.014501698930684315,0.1087184926909662,0.674234765498972,-0.017593592343313244,0.11452144688944031,0.713895634057735,-0.0209131441958319,0.12019724267532678,0.7535565026164981
0.0,0.0,0.0,0.0011716225459978136,0.006417350667591534,0.038919683071841904,0.0020926596462646496,0.01287542930144697,0.07783936614368381,0.0027617163435660896,0.01936445481510648,0.11675904921552571,0.0031777793177223124,0.025874599251496825,0.15567873228736762,0.00334021842033258,0.03239600266786903,0.1945984153592095,0.003248787629166916,0.038918788069179956,0.23351809843105142,0.0029036254207790435,0.04543307636730036,0.2724377815028933,0.0023052545607769315,0.05192900134339334,0.31135746457473523,0.0014545813120675766,0.058396724590801044,0.35027714764657714,0.0003528940622763155,0.06482645041580909,0.389196830718419,-0.000998138627581635,0.07120844067371945,0.4281165137902609,-0.002596470550221025,0.077533029517763,0.46703619686210285,-0.0044396809511708935,0.08379063803851261,0.5059558799339448,-0.006524978195129483,0.08997178877162584,0.5448755630057865,-0.008849203994037158,0.0960671200519436,0.5837952460776284,-0.01140883819046326,0.10206740019220491,0.6227149291494705,-0.014200004089062246,0.10796354146490404,0.6616346122213124,-0.017218474328024785,0.11374661386611305,0.7005542952931543,-0.020459677281631075,0.1194078586404239,0.7394739783649962
0.0,0.0,0.0,0.0010927949768518574,0.006335169043034027,0.03737795938735898,0.001948086107462027,0.012706750067171526,0.07475591877471796,0.002564678593573705,0.019105842297427306,0.11213387816207694,0.0029417110868095453,0.025523506527058964,0.14951183754943592,0.003078656891931514,0.03195077760518449,0.1868897969367949,0.0029753247026072793,0.038378676960642615,0.22426775632415388,0.002631858868655579,0.04479822514460051,0.26164571571151285,0.002048739194396798,0.05120045437438772,0.29902367509887184,0.0012267802683907925,0.05757642106103285,0.33640163448623084,0.00016713032549783846,0.06391721830300298,0.3737795938735898,-0.0011287303571469176,0.07021398832869274,0.41115755326094877,-0.0026589915280055,0.076457934870281,0.44853551264830777,-0.004421515489966388,0.08264033545167031,0.48591347203566676,-0.006413840086599176,0.08875255357334276,0.5232914314230257,-0.008633182141661533,0.09478605077711116,0.5606693908103847,-0.011076441347055377,0.10073239857391114,0.5980473501977437,-0.013740204593799404,0.1065832902179723,0.6354253095851027,-0.01662075073996941,0.1123305523109201,0.6728032689724617,-0.019714055808944142,0.11796615621959791,0.7101812283598207
