time,h,V,u_max,u_0,u_1,u_2,u_3,u_4,u_5
0.002000,33.285986,0.731444,0.277197,0.000199,-0.000424,-0.277197,0.000173,0.001104,-0.169938
0.042000,33.178922,0.741681,0.438853,0.000060,-0.001500,-0.438853,-0.000038,0.000769,-0.259089
0.082000,33.032023,0.742318,0.468529,0.000038,-0.002219,-0.468529,-0.000071,0.002505,-0.276555
0.122000,32.915948,0.740670,0.531124,0.000076,-0.004660,-0.531124,-0.000111,0.004049,-0.291205
0.162000,32.815222,0.741221,0.488566,0.000048,-0.005748,-0.488566,-0.000158,0.006255,-0.274678
0.202000,32.730602,0.742363,0.483257,0.000042,-0.007921,-0.483257,-0.000211,0.008439,-0.265858
0.242000,32.623597,0.743669,0.483618,0.000047,-0.010582,-0.483618,-0.000266,0.010624,-0.258820
0.282000,32.520750,0.744979,0.484481,0.000040,-0.013239,-0.484481,-0.000325,0.013170,-0.250640
0.322000,32.431721,0.746082,0.486039,0.000038,-0.016180,-0.486039,-0.000386,0.015791,-0.242944
0.362000,32.379716,0.746965,0.490561,0.000049,-0.019655,-0.490561,-0.000450,0.018192,-0.237529
0.402000,32.299205,0.747865,0.490325,0.000028,-0.022355,-0.490325,-0.000512,0.021210,-0.229531
0.442000,32.209052,0.748617,0.491388,0.000005,-0.025199,-0.491388,-0.000576,0.024295,-0.222554
0.482000,32.122434,0.749058,0.495224,-0.000003,-0.028538,-0.495224,-0.000642,0.027274,-0.216791
0.522000,32.039212,0.749380,0.495224,-0.000012,-0.031807,-0.495224,-0.000709,0.030163,-0.211261
0.562000,31.959254,0.749765,0.500484,-0.000020,-0.035188,-0.500484,-0.000772,0.033365,-0.205463
0.602000,31.882431,0.750216,0.501812,-0.000045,-0.038150,-0.501812,-0.000837,0.036931,-0.198897
0.642000,31.808620,0.750555,0.502159,-0.000079,-0.041040,-0.502159,-0.000904,0.040598,-0.192461
0.682000,31.737703,0.750645,0.504275,-0.000103,-0.044324,-0.504275,-0.000970,0.044091,-0.187037
0.722000,31.669567,0.750637,0.507925,-0.000104,-0.048138,-0.507925,-0.001037,0.047141,-0.183140
0.762000,31.604103,0.750726,0.507641,-0.000151,-0.050678,-0.507641,-0.001099,0.050989,-0.177825
0.802000,31.541205,0.750635,0.508341,-0.000189,-0.053500,-0.508341,-0.001162,0.054674,-0.173423
0.842000,31.480774,0.750243,0.509695,-0.000222,-0.056542,-0.509695,-0.001226,0.058219,-0.169724
0.882000,31.422712,0.749598,0.511037,-0.000247,-0.059658,-0.511037,-0.001288,0.061645,-0.166446
0.922000,31.366927,0.748869,0.514055,-0.000250,-0.063400,-0.514055,-0.001353,0.064473,-0.164650
0.962000,31.313329,0.748318,0.512462,-0.000312,-0.065272,-0.512462,-0.001410,0.068369,-0.161098
1.002000,31.261833,0.747692,0.512372,-0.000353,-0.067703,-0.512372,-0.001467,0.071848,-0.158526
1.042000,31.212356,0.746895,0.512234,-0.000399,-0.070028,-0.512234,-0.001524,0.075316,-0.156136
1.082000,31.164819,0.745890,0.512863,-0.000437,-0.072621,-0.512863,-0.001584,0.078513,-0.154334
1.122000,31.119146,0.744758,0.513039,-0.000481,-0.074962,-0.513039,-0.001641,0.081734,-0.152590
1.162000,31.075264,0.743594,0.515499,-0.000480,-0.078415,-0.515499,-0.001701,0.084042,-0.152337
1.202000,31.033102,0.742688,0.513064,-0.000559,-0.079369,-0.513064,-0.001750,0.087742,-0.150170
1.242000,30.992594,0.741790,0.512297,-0.000614,-0.081067,-0.512297,-0.001802,0.090881,-0.148939
1.282000,30.953674,0.740785,0.511947,-0.000653,-0.082986,-0.511947,-0.001850,0.093781,-0.147978
1.322000,30.916280,0.739668,0.511473,-0.000698,-0.084729,-0.511473,-0.001899,0.096675,-0.147038
1.362000,30.880352,0.738430,0.511163,-0.000747,-0.086446,-0.511163,-0.001948,0.099472,-0.146229
1.402000,30.845833,0.737104,0.510951,-0.000794,-0.088133,-0.510951,-0.001998,0.102148,-0.145579
1.442000,30.812668,0.735747,0.510495,-0.000845,-0.089621,-0.510495,-0.002046,0.104813,-0.144935
1.482000,30.780803,0.734435,0.512076,-0.000859,-0.092204,-0.512076,-0.002100,0.106576,-0.145535
1.522000,30.750187,0.733419,0.509764,-0.000930,-0.092548,-0.509764,-0.002136,0.109592,-0.144575
1.562000,30.720772,0.732465,0.508819,-0.000982,-0.093594,-0.508819,-0.002176,0.112073,-0.144285
1.602000,30.692510,0.731475,0.508224,-0.001029,-0.094775,-0.508224,-0.002217,0.114366,-0.144181
1.642000,30.665356,0.730430,0.507679,-0.001076,-0.095915,-0.507679,-0.002256,0.116578,-0.144127
1.682000,30.639268,0.729330,0.507112,-0.001123,-0.096977,-0.507112,-0.002295,0.118732,-0.144087
1.722000,30.614202,0.728182,0.506552,-0.001164,-0.098025,-0.506552,-0.002331,0.120801,-0.144030
1.762000,30.590119,0.726998,0.505925,-0.001212,-0.098925,-0.505925,-0.002368,0.122860,-0.143939
1.802000,30.566980,0.725774,0.505265,-0.001261,-0.099725,-0.505265,-0.002404,0.124888,-0.143805
1.842000,30.544748,0.724510,0.504885,-0.001308,-0.100621,-0.504885,-0.002441,0.126757,-0.143794
1.882000,30.523388,0.723241,0.504371,-0.001357,-0.101381,-0.504371,-0.002476,0.128610,-0.143745
1.922000,30.502866,0.721987,0.503801,-0.001405,-0.102054,-0.503801,-0.002509,0.130421,-0.143697
1.962000,30.483149,0.720795,0.505085,-0.001424,-0.103883,-0.505085,-0.002553,0.131362,-0.144708
2.002000,30.464204,0.719893,0.503089,-0.001483,-0.103592,-0.503089,-0.002574,0.133513,-0.144422
2.042000,30.446003,0.719097,0.502201,-0.001528,-0.103986,-0.502201,-0.002601,0.135174,-0.144630
2.082000,30.428515,0.718311,0.501632,-0.001568,-0.104548,-0.501632,-0.002628,0.136662,-0.144956
2.122000,30.411713,0.717517,0.501151,-0.001606,-0.105124,-0.501151,-0.002655,0.138071,-0.145298
2.162000,30.395569,0.716711,0.500693,-0.001644,-0.105672,-0.500693,-0.002681,0.139429,-0.145630
2.202000,30.380059,0.715898,0.500241,-0.001681,-0.106181,-0.500241,-0.002706,0.140743,-0.145948
2.242000,30.365157,0.715081,0.499791,-0.001719,-0.106650,-0.499791,-0.002731,0.142017,-0.146254
2.282000,30.350839,0.714264,0.499343,-0.001756,-0.107082,-0.499343,-0.002755,0.143251,-0.146549
2.322000,30.337082,0.713447,0.498898,-0.001793,-0.107478,-0.498898,-0.002779,0.144445,-0.146837
2.362000,30.323865,0.712632,0.498456,-0.001829,-0.107841,-0.498456,-0.002801,0.145602,-0.147117
2.402000,30.311166,0.711819,0.498018,-0.001866,-0.108172,-0.498018,-0.002823,0.146721,-0.147392
2.442000,30.298965,0.711008,0.497584,-0.001902,-0.108472,-0.497584,-0.002845,0.147805,-0.147661
2.482000,30.287242,0.710197,0.497154,-0.001938,-0.108744,-0.497154,-0.002865,0.148854,-0.147926
2.522000,30.275980,0.709388,0.496743,-0.001971,-0.109024,-0.496743,-0.002885,0.149854,-0.148182
2.562000,30.265158,0.708584,0.496335,-0.002005,-0.109265,-0.496335,-0.002904,0.150831,-0.148429
2.602000,30.254761,0.707789,0.495930,-0.002039,-0.109476,-0.495930,-0.002923,0.151783,-0.148667
2.642000,30.244772,0.707003,0.495533,-0.002074,-0.109667,-0.495533,-0.002942,0.152707,-0.148894
2.682000,30.235175,0.706226,0.495143,-0.002107,-0.109841,-0.495143,-0.002960,0.153602,-0.149109
2.722000,30.225953,0.705457,0.494761,-0.002140,-0.109999,-0.494761,-0.002978,0.154469,-0.149314
2.762000,30.217094,0.704697,0.494386,-0.002172,-0.110143,-0.494386,-0.002995,0.155310,-0.149509
2.802000,30.208581,0.703944,0.494019,-0.002204,-0.110273,-0.494019,-0.003011,0.156124,-0.149694
2.842000,30.200403,0.703199,0.493658,-0.002235,-0.110389,-0.493658,-0.003027,0.156912,-0.149870
2.882000,30.192545,0.702462,0.493304,-0.002266,-0.110493,-0.493304,-0.003043,0.157677,-0.150039
2.922000,30.184995,0.701732,0.492956,-0.002296,-0.110584,-0.492956,-0.003058,0.158418,-0.150200
2.962000,30.177742,0.701010,0.492618,-0.002326,-0.110666,-0.492618,-0.003073,0.159134,-0.150354
3.002000,30.170772,0.700297,0.492286,-0.002355,-0.110737,-0.492286,-0.003087,0.159827,-0.150502
3.042000,30.164076,0.699705,0.492621,-0.002368,-0.111286,-0.492621,-0.003105,0.160126,-0.151107
3.082000,30.157643,0.699268,0.491923,-0.002399,-0.111081,-0.491923,-0.003115,0.160873,-0.151285
3.122000,30.151462,0.698881,0.491551,-0.002422,-0.111116,-0.491551,-0.003125,0.161453,-0.151583
