time,h,V,u_max,u_0,u_1,u_2,u_3,u_4,u_5
0.002000,20.810179,0.731459,0.273331,0.000190,-0.000420,-0.273331,0.000156,0.001091,-0.169915
0.042000,20.593522,0.741547,0.460184,0.000063,-0.001789,-0.460184,-0.000057,0.001574,-0.273684
0.082000,20.246942,0.743558,0.524188,0.000116,-0.004375,-0.524188,-0.000106,0.004057,-0.282877
0.122000,19.862688,0.746151,0.498768,0.000099,-0.006381,-0.498768,-0.000173,0.007136,-0.266213
0.162000,19.505322,0.748573,0.495536,0.000109,-0.009703,-0.495536,-0.000248,0.010396,-0.254196
0.202000,19.233900,0.750572,0.497275,0.000120,-0.013803,-0.497275,-0.000331,0.013970,-0.243678
0.242000,18.873649,0.752091,0.500342,0.000133,-0.018545,-0.500342,-0.000418,0.017742,-0.234631
0.282000,18.540226,0.753135,0.503374,0.000163,-0.023897,-0.503374,-0.000504,0.021591,-0.226640
0.322000,18.295060,0.753755,0.505710,0.000180,-0.029311,-0.505710,-0.000592,0.025684,-0.219563
0.362000,18.206452,0.753976,0.507364,0.000188,-0.034725,-0.507364,-0.000683,0.030018,-0.213385
0.402000,17.936613,0.753811,0.508574,0.000199,-0.040281,-0.508574,-0.000771,0.034403,-0.208059
0.442000,17.678359,0.753309,0.509157,0.000199,-0.045664,-0.509157,-0.000861,0.038935,-0.203481
0.482000,17.530359,0.752478,0.504934,0.000159,-0.049849,-0.504934,-0.000948,0.043777,-0.199067
0.522000,17.605996,0.751174,0.507179,0.000165,-0.055459,-0.507179,-0.001036,0.047836,-0.197371
0.562000,17.561179,0.749562,0.507012,0.000144,-0.060227,-0.507012,-0.001127,0.052312,-0.195778
0.602000,17.439430,0.747740,0.505458,0.000117,-0.064585,-0.505458,-0.001218,0.057011,-0.194364
0.642000,17.348776,0.745738,0.503385,0.000084,-0.068722,-0.503385,-0.001308,0.061775,-0.193378
0.682000,17.189980,0.743613,0.502452,0.000054,-0.073193,-0.502452,-0.001396,0.066390,-0.192650
0.722000,17.055364,0.741444,0.499638,-0.000006,-0.076645,-0.499638,-0.001484,0.071160,-0.191798
0.762000,16.879798,0.739176,0.497467,-0.000053,-0.080215,-0.497467,-0.001569,0.075727,-0.191398
0.802000,16.706292,0.736819,0.495278,-0.000117,-0.083399,-0.495278,-0.001656,0.080307,-0.191358
0.842000,16.543334,0.734365,0.492980,-0.000193,-0.086271,-0.492980,-0.001744,0.084850,-0.191658
0.882000,16.387555,0.731801,0.490745,-0.000248,-0.089218,-0.490745,-0.001825,0.089167,-0.192259
0.922000,16.237251,0.729180,0.488663,-0.000314,-0.091838,-0.488663,-0.001905,0.093320,-0.193003
0.962000,16.091481,0.726534,0.486258,-0.000400,-0.094039,-0.486258,-0.001987,0.097494,-0.193899
1.002000,15.948517,0.723839,0.483868,-0.000487,-0.096032,-0.483868,-0.002067,0.101541,-0.194982
1.042000,15.806953,0.721091,0.481509,-0.000555,-0.098093,-0.481509,-0.002141,0.105387,-0.196224
1.082000,15.665470,0.718311,0.479119,-0.000641,-0.099791,-0.479119,-0.002217,0.109235,-0.197682
1.122000,15.523525,0.715498,0.476676,-0.000736,-0.101255,-0.476676,-0.002294,0.113020,-0.199328
1.162000,15.380983,0.712636,0.474168,-0.000839,-0.102517,-0.474168,-0.002370,0.116726,-0.201166
1.202000,15.222352,0.709712,0.471731,-0.000912,-0.104015,-0.471731,-0.002439,0.120176,-0.203139
1.242000,15.017581,0.706770,0.469170,-0.001005,-0.105145,-0.469170,-0.002510,0.123659,-0.205291
1.282000,14.820839,0.703800,0.466678,-0.001109,-0.106133,-0.466678,-0.002584,0.127058,-0.207640
1.322000,14.631811,0.700791,0.464089,-0.001221,-0.106925,-0.464089,-0.002657,0.130405,-0.210123
1.362000,14.457075,0.697745,0.461906,-0.001301,-0.108178,-0.461906,-0.002721,0.133317,-0.212550
1.402000,14.311840,0.694733,0.459372,-0.001405,-0.108798,-0.459372,-0.002788,0.136334,-0.214874
1.442000,14.179067,0.691745,0.456970,-0.001518,-0.109271,-0.456970,-0.002855,0.139320,-0.217311
1.482000,14.051819,0.688807,0.454672,-0.001632,-0.109697,-0.454672,-0.002923,0.142147,-0.219954
1.522000,13.928283,0.685897,0.452295,-0.001751,-0.109943,-0.452295,-0.002988,0.144957,-0.222537
1.562000,13.808308,0.682957,0.450054,-0.001869,-0.110220,-0.450054,-0.003053,0.147590,-0.225204
1.602000,13.691689,0.680002,0.447915,-0.001960,-0.110698,-0.447915,-0.003110,0.150010,-0.227792
1.642000,13.578185,0.677074,0.445696,-0.002072,-0.110829,-0.445696,-0.003170,0.152488,-0.230356
1.682000,13.467661,0.674168,0.443422,-0.002193,-0.110760,-0.443422,-0.003230,0.154972,-0.232847
1.722000,13.360016,0.671255,0.441406,-0.002321,-0.110741,-0.441406,-0.003292,0.157293,-0.235430
1.762000,13.255135,0.668327,0.439309,-0.002453,-0.110566,-0.439309,-0.003353,0.159587,-0.237992
1.802000,13.152915,0.665381,0.438347,-0.002578,-0.111237,-0.438347,-0.003427,0.161173,-0.241143
1.842000,13.053257,0.662549,0.435400,-0.002656,-0.110649,-0.435400,-0.003456,0.163539,-0.243261
1.882000,12.956763,0.659767,0.433556,-0.002772,-0.110513,-0.433556,-0.003509,0.165450,-0.245790
1.922000,12.863878,0.657043,0.431799,-0.002893,-0.110296,-0.431799,-0.003563,0.167291,-0.248215
1.962000,12.774738,0.654383,0.430101,-0.003014,-0.110010,-0.430101,-0.003613,0.169057,-0.250504
2.002000,12.689437,0.651784,0.428479,-0.003133,-0.109673,-0.428479,-0.003662,0.170739,-0.252660
2.042000,12.608060,0.649239,0.426941,-0.003252,-0.109289,-0.426941,-0.003708,0.172332,-0.254683
2.082000,12.530664,0.646740,0.425491,-0.003370,-0.108861,-0.425491,-0.003751,0.173835,-0.256570
2.122000,12.456995,0.644283,0.424060,-0.003466,-0.108583,-0.424060,-0.003789,0.175214,-0.258280
2.162000,12.386161,0.641884,0.422742,-0.003573,-0.108154,-0.422742,-0.003828,0.176596,-0.259939
2.202000,12.317793,0.639547,0.421500,-0.003682,-0.107671,-0.421500,-0.003866,0.177944,-0.261510
2.242000,12.251834,0.637264,0.420324,-0.003790,-0.107166,-0.420324,-0.003903,0.179242,-0.262979
2.282000,12.188316,0.635028,0.419214,-0.003898,-0.106650,-0.419214,-0.003938,0.180488,-0.264339
2.322000,12.127286,0.632833,0.418173,-0.004004,-0.106124,-0.418173,-0.003973,0.181676,-0.265591
2.362000,12.068771,0.630672,0.417225,-0.004109,-0.105607,-0.417225,-0.004006,0.182793,-0.266758
2.402000,12.012733,0.628549,0.416318,-0.004213,-0.105065,-0.416318,-0.004038,0.183855,-0.267833
2.442000,11.959110,0.626463,0.415445,-0.004315,-0.104494,-0.415445,-0.004068,0.184867,-0.268817
2.482000,11.906992,0.624513,0.414914,-0.004415,-0.104240,-0.414914,-0.004105,0.185555,-0.270325
2.522000,11.856252,0.622693,0.413738,-0.004502,-0.103410,-0.413738,-0.004122,0.186570,-0.271349
2.562000,11.807527,0.620912,0.412894,-0.004584,-0.102929,-0.412894,-0.004144,0.187363,-0.272407
2.602000,11.760504,0.619167,0.412162,-0.004674,-0.102414,-0.412162,-0.004169,0.188140,-0.273444
2.642000,11.714979,0.617463,0.411478,-0.004764,-0.101880,-0.411478,-0.004194,0.188898,-0.274428
2.682000,11.661130,0.615804,0.410824,-0.004853,-0.101344,-0.410824,-0.004217,0.189631,-0.275355
2.722000,11.595997,0.614188,0.410196,-0.004939,-0.100811,-0.410196,-0.004240,0.190338,-0.276226
2.762000,11.533417,0.612616,0.409591,-0.005023,-0.100284,-0.409591,-0.004261,0.191016,-0.277045
2.802000,11.473291,0.611086,0.409012,-0.005104,-0.099761,-0.409012,-0.004282,0.191665,-0.277815
2.842000,11.415523,0.609597,0.408456,-0.005184,-0.099244,-0.408456,-0.004301,0.192286,-0.278540
2.882000,11.360020,0.608147,0.407925,-0.005261,-0.098730,-0.407925,-0.004320,0.192879,-0.279221
2.922000,11.306694,0.606734,0.407417,-0.005337,-0.098220,-0.407417,-0.004338,0.193445,-0.279860
2.962000,11.255458,0.605357,0.406933,-0.005411,-0.097714,-0.406933,-0.004355,0.193985,-0.280460
3.002000,11.206231,0.604014,0.406472,-0.005483,-0.097210,-0.406472,-0.004371,0.194499,-0.281023
3.042000,11.158935,0.602703,0.406032,-0.005554,-0.096708,-0.406032,-0.004387,0.194989,-0.281549
3.082000,11.113495,0.601424,0.405614,-0.005623,-0.096209,-0.405614,-0.004401,0.195455,-0.282041
3.122000,11.069836,0.600176,0.405215,-0.005691,-0.095712,-0.405215,-0.004416,0.195899,-0.282501
3.162000,11.027888,0.598958,0.404837,-0.005758,-0.095217,-0.404837,-0.004429,0.196323,-0.282930
