Chi_0_0,Chi_0_1,Chi_0_2,Chi_1_0,Chi_1_1,Chi_1_2,Chi_2_0,Chi_2_1,Chi_2_2,Chi_3_0,Chi_3_1,Chi_3_2,Chi_4_0,Chi_4_1,Chi_4_2,Chi_5_0,Chi_5_1,Chi_5_2,Chi_6_0,Chi_6_1,Chi_6_2,Chi_7_0,Chi_7_1,Chi_7_2,Chi_8_0,Chi_8_1,Chi_8_2,Chi_9_0,Chi_9_1,Chi_9_2,Chi_10_0,Chi_10_1,Chi_10_2,Chi_11_0,Chi_11_1,Chi_11_2,Chi_12_0,Chi_12_1,Chi_12_2,Chi_13_0,Chi_13_1,Chi_13_2,Chi_14_0,Chi_14_1,Chi_14_2,Chi_15_0,Chi_15_1,Chi_15_2,Chi_16_0,Chi_16_1,Chi_16_2,Chi_17_0,Chi_17_1,Chi_17_2,Chi_18_0,Chi_18_1,Chi_18_2,Chi_19_0,Chi_19_1,Chi_19_2,Chi_20_0,Chi_20_1,Chi_20_2,Chi_21_0,Chi_21_1,Chi_21_2,Chi_22_0,Chi_22_1,Chi_22_2,Chi_23_0,Chi_23_1,Chi_23_2,Chi_24_0,Chi_24_1,Chi_24_2,Chi_25_0,Chi_25_1,Chi_25_2,Chi_26_0,Chi_26_1,Chi_26_2,Chi_27_0,Chi_27_1,Chi_27_2,Chi_28_0,Chi_28_1,Chi_28_2,Chi_29_0,Chi_29_1,Chi_29_2,Chi_30_0,Chi_30_1,Chi_30_2,Chi_31_0,Chi_31_1,Chi_31_2,Chi_32_0,Chi_32_1,Chi_32_2,Chi_33_0,Chi_33_1,Chi_33_2,Chi_34_0,Chi_34_1,Chi_34_2,Chi_35_0,Chi_35_1,Chi_35_2,Chi_36_0,Chi_36_1,Chi_36_2,Chi_37_0,Chi_37_1,Chi_37_2,Chi_38_0,Chi_38_1,Chi_38_2,Chi_39_0,Chi_39_1,Chi_39_2
0.0,0.0,0.0,0.0022574135215971403,0.012526209974397125,-0.018015758414652163,0.004740117676979572,0.025009720386417585,-0.036031516829304326,0.007447306682733634,0.037446479603243335,-0.05404727524395648,0.010378101896918235,0.04983245116556693,-0.07206303365860865,0.013531552104235844,0.062163615097659664,-0.0900787920732608,0.0169066338247571,0.07443596921209011,-0.10809455048791296,0.020502251646101644,0.08664553040866907,-0.12611030890256514,0.024317238578961953,0.09878833596719964,-0.1441260673172173,0.02835035643586159,0.1108604448336129,-0.16214182573186944,0.03260029623301852,0.12285793889907162,-0.1801575841465216,0.037065678615188724,0.13477692427162663,-0.19817334256117378,0.041745054303346296,0.14661353254001397,-0.21618910097582592,0.04663690456506109,0.15836392202918143,-0.23420485939047808,0.051739641707416184,0.17002427904713788,-0.2522206178051303,0.05705160959230726,0.18159081912272057,-0.2702363762197824,0.06257108417395718,0.1930597882338786,-0.2882521346344346,0.06829627405846983,0.20442746402607334,-0.30626789304908675,0.07422532108524305,0.21569015702040145,-0.3242836514637389,0.08035630093005064,0.22684421181104775,-0.3422994098783911,0.0832582775566203,0.23397384097306684,-0.38207617808670713,0.08292871544932534,0.2371810314460438,-0.4436139560886874,0.08279701598728362,0.24040241890554273,-0.5051517340906675,0.0828636777455728,0.2436258081346773,-0.5666895120926477,0.08312844836255984,0.2468389963384555,-0.6282272900946279,0.08359032549526679,0.25002981933993984,-0.6897650680966081,0.0842475606139439,0.2531861976302112,-0.7513028460985881,0.08509766562148446,0.2562961820978048,-0.8128406241005685,0.08613742227262211,0.25934799926449975,-0.8743784021025485,0.08736289435725197,0.2623300958562137,-0.9359161801045288,0.08876944260175412,0.26523118254026967,-0.9974539581065088,0.090351742231907,0.2680402766634591,-1.058991736108489,0.0921038031309015,0.2707467438291076,-1.1205295141104692,0.09401899251614654,0.2733403381557446,-1.182067292112449,0.09609006004901466,0.27581124106497,-1.2436050701144294,0.09830916528247269,0.27815009845167793,-1.3051428481164096,0.10066790734268738,0.28034805609592256,-1.36668062611839,0.10315735673224025,0.28239679318236716,-1.4282184041203698,0.10576808913455515,0.2842885538004216,-1.4897561821223502,0.1084902210915637,0.28601617630581805,-1.5512939601243303
0.0,0.0,0.0,0.002234437328417882,0.012533550947956341,-0.018227524496605255,0.004696946436118288,0.02502429385757298,-0.03645504899321051,0.00738670919520279,0.037468078886232374,-0.05468257348981576,0.010302831976508608,0.04986077179229577,-0.07291009798642102,0.013444345946502012,0.06219825530863661,-0.09113762248302627,0.016810207389156173,0.07447643051053443,-0.10936514697963153,0.020399298052710013,0.08669121817747465,-0.1275926714762368,0.024210425521188017,0.09883856014840221,-0.14582019597284204,0.028242323610560116,0.11091442066997839,-0.1640477204694473,0.032493652789411964,0.12291478773739299,-0.18227524496605255,0.03696300062398061,0.13483567442728656,-0.2005027694626578,0.04164888224741303,0.1466731202223398,-0.21873029395926305,0.04654974085308827,0.1584231923270898,-0.23695781845586833,0.05166394821184084,0.17008198697453625,-0.2551853429524736,0.05698980521291286,0.18164563072310347,-0.27341286744907883,0.0625255424284552,0.19311028174352718,-0.2916403919456841,0.06826932070139147,0.20447213109523893,-0.30986791644228934,0.07421923175644618,0.2157274039918232,-0.3280954409388946,0.08037329883413846,0.226872361055128,-0.3463229654354999,0.0832912927219176,0.23401098763225298,-0.38604366638683707,0.082969559814832,0.23724613556401064,-0.4472575437929066,0.08284634180249384,0.24049490633543985,-0.5084714211989758,0.08292210025573854,0.2437451301524438,-0.5696852986050454,0.08319655138576032,0.246984631777862,-0.6308991760111146,0.08366866710717669,0.2502012761395298,-0.6921130534171841,0.08433667888920349,0.2533830137878803,-0.7533269308232534,0.08519808438051646,0.2565179260328073,-0.8145408082293228,0.0862496567829818,0.259594269590707,-0.8757546856353922,0.08748745693914062,0.26260052057445255,-0.9369685630414616,0.08890684808817051,0.2655254176615161,-0.9981824404475309,0.09050251323504754,0.2683580042785324,-1.0593963178536003,0.09226847506784286,0.271087669644281,-1.1206101952596697,0.09419811834854808,0.27370418851734246,-1.181824072665739,0.0962842146935502,0.27619775949953373,-1.2430379500718085,0.09851894965093144,0.2785590417516408,-1.3042518274778776,0.10089395197316287,0.28077918998391116,-1.3654657048839471,0.10340032497553664,0.2828498875902336,-1.4266795822900165,0.10602867986287001,0.28476337780188576,-1.487893459696086,0.10876917089963911,0.2865124927441481,-1.549107337102155
0.0,0.0,0.0,0.002214154400813073,0.012551468538776278,-0.01847622614312381,0.004659821465575531,0.02505988789530833,-0.03695245228624762,0.007336166338391403,0.03752098818028653,-0.05542867842937143,0.010242275418905211,0.04993051565729729,-0.07390490457249524,0.013377156674172275,0.06228423419488366,-0.09238113071561904,0.01673973997729794,0.07457792671259664,-0.11085735685874286,0.020328877472738816,0.0868073966205424,-0.12933358300186668,0.024143343968135444,0.09896846925193585,-0.14780980914499048,0.02818183735254609,0.11105699328816963,-0.16628603528811428,0.03244297904093618,0.12306884217591353,-0.18476226143123808,0.036925314444774315,0.13499991553575966,-0.2032384875743619,0.04162731346857218,0.1468461405619329,-0.22171471371748572,0.04654737103219997,0.15860347341258912,-0.24019093986060952,0.051683807618798205,0.17026790059022567,-0.25866716600373335,0.0570348698480998,0.18183544031173393,-0.2771433921468571,0.06259873107496639,0.19330214386762573,-0.29561961828998096,0.06837349201293386,0.2046640969699694,-0.3140958444331048,0.07435718138255465,0.21591742108857614,-0.33257207057622856,0.08054775658431712,0.22705827477497986,-0.3510482967193524,0.08348638587260826,0.23420227499078197,-0.3907679417530311,0.08316755431031209,0.23745374965463859,-0.45173100567726504,0.08304741213259681,0.24071860905619807,-0.5126940696014987,0.08312640570901475,0.24398472311876573,-0.5736571335257327,0.08340424155123394,0.24723995710414928,-0.6346201974499663,0.08387988740344776,0.2504722166973889,-0.6955832613742002,0.08455157607756114,0.2536694929413011,-0.7565463252984339,0.08541681201890228,0.2568199068538893,-0.8175093892226678,0.08647238057806794,0.2599117535628512,-0.8784724531469016,0.08771435995445198,0.2629335457932096,-0.9394355170711355,0.08913813576708562,0.26587405654649326,-1.000398580995369,0.0907384181986508,0.26872236081290185,-1.061361644919603,0.09250926164897288,0.2714678761614784,-1.1223247088438368,0.09444408682497207,0.27410040205748337,-1.1832877727680704,0.09653570518500287,0.2766101577608936,-1.2442508366923044,0.09877634564676008,0.27898781866521816,-1.305213900616538,0.10115768345952636,0.2812245509416222,-1.366176964540772,0.10367087113348572,0.283312044359642,-1.4271400284650058,0.10630657131119536,0.28524254316255254,-1.4881030923892395,0.1090549914590826,0.2870088748826734,-1.5490661563134733
0.0,0.0,0.0,0.0021914117596084637,0.012566537641285938,-0.018741551392014423,0.004617941292359595,0.025089800323857655,-0.037483102784028846,0.007278736315018408,0.03756538943369133,-0.05622465417604326,0.01017286226200087,0.04998892310141285,-0.07496620556805769,0.013299302613626884,0.062356037741365486,-0.09370775696007211,0.0166569592531578,0.07466238958425625,-0.11244930835208652,0.02024465285249366,0.08690365620284157,-0.13119085974410094,0.024061123286395758,0.09907553803011698,-0.14993241113611538,0.028105030075086912,0.11117375986947771,-0.1686739625281298,0.03237495285507519,0.12319407239631928,-0.18741551392014422,0.03686939187803662,0.13513225365055098,-0.20615706531215863,0.041586768537579255,0.14698411051949806,-0.22489861670417305,0.046525425923706676,0.1587454802106716,-0.2436401680961875,0.05168362940478266,0.17041223171388886,-0.2623817194882019,0.057059567236795505,0.1819802672522307,-0.2811232708802163,0.06265135119970755,0.19344552372132584,-0.29986482227223077,0.06845701726066344,0.20480397411645762,-0.31860637366424516,0.07447452626383033,0.21605162894699065,-0.3373479250562596,0.0807017646466196,0.22718453763762142,-0.35608947644827404,0.08366106829387199,0.23433375444697097,-0.3958109445494963,0.08334511121403543,0.2376051803761321,-0.4565123293599266,0.08322819420911154,0.24088974836907212,-0.5172137141703567,0.08331074794602877,0.24417535963135006,-0.577915098980787,0.08359246833587963,0.24744991152561424,-0.638616483791217,0.08407231765403977,0.25070134215199213,-0.6993178686016475,0.08474852836265445,0.25391767477842264,-0.7600192534120775,0.08561860962141254,0.2570870619572704,-0.8207206382225078,0.08667935646262281,0.2601978291657174,-0.8814220230329379,0.08792686159679886,0.2632385178091814,-0.9421234078433682,0.08935652980526532,0.26619792742935683,-1.0028247926537983,0.09096309486676835,0.26906515696140415,-1.0635261774642286,0.09274063895574414,0.2718296448883146,-1.1242275622746587,0.09468261444078774,0.27448120814454224,-1.1849289470850888,0.09678186800302924,0.2770100796255992,-1.245630331895519,0.09903066698557617,0.27940694416544753,-1.3063317167059492,0.1014207278769631,0.28166297284916353,-1.3670331015163795,0.10394324682368816,0.2837698555344832,-1.4277344863268095,0.10658893205944431,0.2857198314624343,-1.48843587113724,0.10934803813159,0.28750571784430057,-1.5491372559476702
0.0,0.0,0.0,0.002171264743747181,0.01258226842651442,-0.01900099134228961,0.004581198732919289,0.025121011884777462,-0.03800198268457922,0.0072289319167366806,0.037611703552239806,-0.05700297402686883,0.010113508392534665,0.050049833954336986,-0.07600396536915845,0.013233886750870782,0.06243091259253036,-0.09500495671144804,0.016588940451501166,0.07475046956549769,-0.11400594805373766,0.020177458230091316,0.0870040571828873,-0.13300693939602728,0.023998144535516075,0.09918725157105332,-0.1520079307383169,0.02804961999758737,0.11129565427019307,-0.1710089220806065,0.03233042192504443,0.12332489382230859,-0.19000991342289608,0.0368390048336239,0.13527062734942055,-0.20901090476518572,0.04157374100402189,0.1471285421214632,-0.22801189610747533,0.04653292106954354,0.15889435711329578,-0.24701288744976493,0.05171475463323094,0.17056382455026758,-0.26601387879205457,0.057117370914243515,0.18213273144177802,-0.2850148701343442,0.0627388194232612,0.19359690110227962,-0.3040158614766338,0.0685770706666623,0.20495219465917303,-0.3230168528189234,0.07463001687922599,0.21619451254705152,-0.342017844161213,0.08089547278509124,0.2273197959877536,-0.3610188355035026,0.08387359314324405,0.234473836207454,-0.4008027625511477,0.08355555118258118,0.23776438402658087,-0.4613696253041486,0.08343726871883916,0.2410681492872303,-0.5219364880571492,0.08351917952026089,0.2443730163434541,-0.58250335081015,0.08380098320162199,0.24766686550877332,-0.6430702135631507,0.08428164632581026,0.2509376175017787,-0.7036370763161516,0.08495940619367082,0.2541732777435563,-0.7642039390691522,0.0858317773082179,0.25736198034449087,-0.8247708018221531,0.0868955604895083,0.26049203161913587,-0.8853376645751537,0.08814685460674909,0.263551952969573,-0.9459045273281546,0.08958107088461731,0.26653052297999763,-1.0064713900811553,0.09119294973132452,0.26941681856815913,-1.067038252834156,0.09297658002671616,0.2722002550427467,-1.1276051155871567,0.09492542079967092,0.2748706249198184,-1.1881719783401572,0.09703232521530447,0.27741813535592785,-1.2487388410931581,0.09928956678401091,0.2798334440606707,-1.3093057038461589,0.1016888676962282,0.2821076935569521,-1.3698725665991596,0.10422142917901611,0.2842325436633365,-1.4304394293521603,0.10687796376312475,0.28620020207935737,-1.4910062921051612,0.10964872934222059,0.2880034529616254,-1.5515731548581617
0.0,0.0,0.0,0.0021400821002899306,0.012577794644894478,-0.01929331897090288,0.0045224182587928485,0.025111961707488126,-0.03858663794180576,0.0071461217208891314,0.03759783571246277,-0.057879956912708634,0.010010215890073892,0.05003076916017174,-0.07717327588361152,0.013113634691466314,0.06240613425653481,-0.09646659485451439,0.016455222968625227,0.07471932463559872,-0.11575991382541727,0.020033736913521394,0.08696575707412141,-0.13505323279632014,0.023847844529509277,0.09914087319754224,-0.15434655176722303,0.027896126127122556,0.1112401411767029,-0.17363987073812592,0.03217707485251309,0.12325905741468769,-0.19293318970902879,0.036689097248332136,0.13519314822315506,-0.21222650867993165,0.04143051384684815,0.14703797148753664,-0.23151982765083454,0.04639955979507937,0.15878911832048384,-0.2508131466217374,0.051594385511708696,0.17044221470294652,-0.2701064655926403,0.057013057375535414,0.18199292311227314,-0.28939978456354315,0.0626535584452097,0.19343694413672613,-0.30869310353444607,0.06851378920997886,0.20477001807581127,-0.32798642250534893,0.07459156837116887,0.21598792652582643,-0.34727974147625185,0.08088463365410925,0.22708649395003794,-0.3665730604471547,0.08387835825738221,0.23424751511603792,-0.40635271604763584,0.08356305761479998,0.23758035547129672,-0.46661870827769547,0.08344906475127623,0.24092613564278437,-0.5268847005077549,0.08353679356243582,0.24427270746848107,-0.5871506927378146,0.0838259255145567,0.24760791991195702,-0.647416684967874,0.08431541080113036,0.2509196631814576,-0.7076826771979337,0.08500347215459514,0.2541959126992328,-0.7679486694279931,0.08588761129940004,0.257424772761465,-0.8282146616580528,0.08696461802297006,0.2605945197302685,-0.8884806538881121,0.08823058183163768,0.26369364460093736,-0.9487466461181718,0.08968090614921709,0.26671089478988297,-1.0090126383482314,0.09131032500667002,0.26963531499153504,-1.0692786305782909,0.09311292216226408,0.27245628695585844,-1.1295446228083503,0.09508215258279917,0.2751635680420579,-1.1898106150384098,0.09721086620790764,0.2777473284084874,-1.2500766072684695,0.09949133391114173,0.28019818670373026,-1.310342599498529,0.10191527556358682,0.2825072441292604,-1.3706085917285886,0.10447389009810426,0.2846661167500073,-1.430874583958648,0.10715788746504384,0.28666696593550717,-1.4911405761887078,0.10995752236339862,0.28850252682111355,-1.551406568418767
